ticker,bucket,tier,offer_price,mcap_listing_b,reason,name,first_trade,mcap_src,mcap_conf,ritter_ticker,match_method
SPCX,considered,T4,135.0,1767.265285275,too recent: IPO 2026-06-12; +180 td outcome not yet observable,Space Exploration Technologies Corp.,2026-06-12,single:yf,low,SPCX,seed_calendar
COIN,considered,T4,250.0,46.496513875,direct listing (no underwriter/lockup) - excluded by spec,Coinbase Global Inc,2021-04-14,auto:ritter+yf,high,COIN,ticker+date
CBRS,considered,T4,185.0,39.795413825,too recent: IPO 2026-05-14; +180 td outcome not yet observable,Cerebras Systems Inc.,2026-05-14,single:yf,low,CBRS,seed_calendar
MDLN,considered,T4,29.0,38.097799438,too recent: IPO 2025-12-17; +180 td outcome not yet observable,Medline Inc.,2025-12-17,ritter-anchor,med,MDLN,ticker+date
SPOT,considered,T4,165.9,29.5489453728,direct listing (no underwriter/lockup) - excluded by spec,Spotify Technology S.A.,2018-04-03,single:yf,low,SPOT,ticker+date
RBLX,considered,T4,45.0,24.77028447,direct listing (no underwriter/lockup) - excluded by spec,Roblox,2021-03-10,auto:edgar+ritter+yf,high,RBLX,ticker+date
WORK,considered,T4,38.5,20.2254745,direct listing (no underwriter/lockup) - excluded by spec,Slack,2019-06-20,ritter-anchor,med,WORK,ticker+date
BSP,considered,T4,29.0,18.42135999,too recent: IPO 2026-07-01; +180 td outcome not yet observable,Bending Spoons S.p.A.,2026-07-01,single:yf,low,BSP,seed_calendar
DSC,considered,T4,17.0,16.004647399,too recent: IPO 2026-06-25; +180 td outcome not yet observable,DSC Holdings Ltd.,2026-06-25,single:yf,low,DSC,seed_calendar
QNT,considered,T4,60.0,15.55713426,too recent: IPO 2026-06-04; +180 td outcome not yet observable,Quantinuum Inc.,2026-06-04,single:yf,low,QNT,seed_calendar
MAIR,considered,T4,27.0,13.201010802,too recent: IPO 2026-04-16; +180 td outcome not yet observable,Madison Air Solutions Corporation,2026-04-16,single:yf,low,MAIR,seed_calendar
PLTR,considered,T4,7.25,11.50952,direct listing (no underwriter/lockup) - excluded by spec,Palantir Technologies,2020-09-30,auto:edgar+ritter+yf,high,PLTR,ticker+date
ARXS,considered,T4,28.0,11.243865248,too recent: IPO 2026-04-16; +180 td outcome not yet observable,"Arxis, Inc.",2026-04-16,single:yf,low,ARXS,seed_calendar
PAYP,considered,T4,16.0,10.764647912000001,too recent: IPO 2026-03-12; +180 td outcome not yet observable,PayPay Corporation,2026-03-12,auto:edgar+yf,high,PAYP,seed_calendar
FRVO,considered,T3,27.0,7.656182991,too recent: IPO 2026-05-13; +180 td outcome not yet observable,Fervo Energy Company,2026-05-13,single:yf,low,FRVO,seed_calendar
BETA,considered,T3,34.0,7.609458502,too recent: IPO 2025-11-04; +180 td outcome not yet observable,"BETA Technologies, Inc.",2025-11-04,ritter-anchor,med,BETA,ticker+date
SQSP,considered,T3,50.0,6.8038647,direct listing (no underwriter/lockup) - excluded by spec,"SquareSpace, Inc.",2021-05-19,ritter-anchor,med,SQSP,ticker+date
FPS,considered,T3,27.0,6.232887387,too recent: IPO 2026-02-05; +180 td outcome not yet observable,"Forgent Power Solutions, Inc.",2026-02-05,single:yf,low,FPS,seed_calendar
NAVN,considered,T3,25.0,6.20553975,too recent: IPO 2025-10-30; +180 td outcome not yet observable,"Navan, Inc.",2025-10-30,ritter-anchor,med,NAVN,ticker+date
