ticker,tier,bucket,listing,year,status,source,first_bar,n_bars
SPCX,T4,considered,2026-06-12,2026,ok,yfinance,2026-06-12,16
CBRS,T4,considered,2026-05-14,2026,ok,yfinance,2026-05-14,39
MDLN,T4,considered,2025-12-17,2025,ok,yfinance,2025-12-17,140
BSP,T4,considered,2026-07-01,2026,ok,yfinance,2026-07-01,7
DSC,T4,considered,2026-06-25,2026,ok,yfinance,2026-06-25,11
QNT,T4,considered,2026-06-04,2026,ok,yfinance,2026-06-04,25
MAIR,T4,considered,2026-04-16,2026,ok,yfinance,2026-04-16,59
ARXS,T4,considered,2026-04-16,2026,ok,yfinance,2026-04-16,59
PAYP,T4,considered,2026-03-12,2026,ok,yfinance,2026-03-12,83
FRVO,T3,considered,2026-05-13,2026,ok,yfinance,2026-05-13,40
BETA,T3,considered,2025-11-04,2025,ok,yfinance,2025-11-04,170
FPS,T3,considered,2026-02-05,2026,ok,yfinance,2026-02-05,107
NAVN,T3,considered,2025-10-30,2025,ok,yfinance,2025-10-30,173
EQPT,T3,considered,2026-01-23,2026,ok,yfinance,2026-01-23,116
XE,T3,considered,2026-04-24,2026,ok,yfinance,2026-04-24,53
MMED,T3,considered,2026-03-06,2026,ok,yfinance,2026-03-06,87
JAN,T3,considered,2026-03-20,2026,ok,yfinance,2026-03-20,77
MWH,T3,considered,2026-02-11,2026,ok,yfinance,2026-02-12,102
DPC,T2,considered,2026-06-25,2026,ok,yfinance,2026-06-25,11
YSS,T2,considered,2026-01-29,2026,ok,yfinance,2026-01-29,112
LFTO,T2,considered,2026-06-04,2026,ok,yfinance,2026-06-04,25
BLLN,T2,considered,2025-11-06,2025,ok,yfinance,2025-11-06,168
PBLS,T2,considered,2026-06-10,2026,ok,yfinance,2026-06-10,21
BOBS,T2,considered,2026-02-05,2026,ok,yfinance,2026-02-05,107
BTGO,T2,considered,2026-01-22,2026,ok,yfinance,2026-01-21,118
GENB,T2,considered,2026-02-27,2026,ok,yfinance,2026-02-27,92
KLRA,T2,considered,2026-04-17,2026,ok,yfinance,2026-04-17,58
AGBK,T2,considered,2026-02-11,2026,ok,yfinance,2026-02-11,103
SSMR,T2,considered,2026-06-04,2026,ok,yfinance,2026-06-04,25
ANDG,T2,considered,2025-12-17,2025,ok,yfinance,2025-12-17,140
BXDC,T2,considered,2026-05-14,2026,ok,yfinance,2026-05-14,39
LIME,T2,considered,2026-07-01,2026,recycled_mismatch,yfinance,1998-08-14,5065
APC,T2,considered,2026-02-12,2026,ok,yfinance,2026-02-12,102
KARD,T2,considered,2026-06-18,2026,ok,yfinance,2026-06-18,15
ALMR,T2,considered,2026-04-17,2026,ok,yfinance,2026-04-17,58
EROC,T2,considered,2026-06-10,2026,ok,yfinance,2026-06-10,21
AVEX,T1,considered,2026-04-17,2026,ok,yfinance,2026-04-17,58
FISN,T1,considered,2026-06-18,2026,ok,yfinance,2026-06-18,15
SPTX,T1,considered,2026-05-01,2026,ok,yfinance,2026-05-01,48
AKTS,T1,considered,2026-01-09,2026,ok,yfinance,2026-01-09,125
EIKN,T1,considered,2026-02-05,2026,ok,yfinance,2026-02-05,107
ODTX,T1,considered,2026-05-08,2026,ok,yfinance,2026-05-08,43
NHP,T1,considered,2026-04-22,2026,ok,yfinance,2026-04-22,55
GMRS,T1,considered,2026-05-13,2026,ok,yfinance,2026-05-13,40
COAG,T1,considered,2026-05-01,2026,ok,yfinance,2026-05-01,48
AGMB,T1,considered,2026-02-06,2026,ok,yfinance,2026-02-06,106
AVLN,T1,considered,2026-04-30,2026,ok,yfinance,2026-04-30,49
ITG,T1,considered,2026-07-01,2026,recycled_mismatch,yfinance,2012-06-18,1685
OFRM,T1,considered,2026-02-06,2026,ok,yfinance,2026-02-06,106
BGIN,T1,considered,2025-10-21,2025,ok,yfinance,2025-10-21,180
GMTL,T1,considered,2026-03-20,2026,ok,yfinance,2026-03-20,77
LCLN,T1,considered,2026-05-20,2026,ok,yfinance,2026-05-20,35
GLOO,T1,considered,2025-11-19,2025,ok,yfinance,2025-11-18,160
MANE,T1,considered,2026-02-04,2026,ok,yfinance,2026-02-04,108
WHK,T1,considered,2026-06-09,2026,ok,yfinance,2026-06-09,22
YSWY,T1,considered,2026-04-22,2026,ok,yfinance,2026-04-22,55
SGP,T1,considered,2026-02-06,2026,ok,yfinance,2026-02-06,106
SUJA,T1,considered,2026-05-07,2026,ok,yfinance,2026-05-07,44
MWC,T1,considered,2026-05-14,2026,ok,yfinance,2026-05-14,39
EROK,T1,considered,2026-05-14,2026,ok,yfinance,2026-05-14,39
ELMT,T1,considered,2026-04-23,2026,ok,yfinance,2026-04-23,54
REA,T1,considered,2026-05-06,2026,ok,yfinance,2026-05-05,46
SBMT,T1,considered,2026-04-30,2026,ok,yfinance,2026-04-30,49
CDNL,sub,considered,2025-12-10,2025,ok,yfinance,2025-12-10,145
CEPV,sub,considered,2025-11-04,2025,ok,yfinance,2025-11-04,170
HMH,sub,considered,2026-04-01,2026,ok,yfinance,2026-04-01,69
AERO,,considered,2025-11-06,2025,ok,yfinance,2025-11-06,168
SKHY,,considered,2026-07-10,2026,ok,yfinance,2026-07-10,1
SIND,,considered,2026-06-26,2026,ok,yfinance,2026-06-26,10
FCBM,,considered,2026-06-18,2026,ok,yfinance,2026-06-18,15
FRBT,,considered,2026-06-11,2026,ok,yfinance,2026-06-11,20
INIO,,considered,2026-06-04,2026,ok,yfinance,2026-06-08,23
AADX,,considered,2026-06-03,2026,ok,yfinance,2026-06-03,26
PICS,,considered,2026-01-29,2026,ok,yfinance,2026-01-29,112
BABA,T4,headline,2014-09-19,2014,ok,yfinance,2014-09-19,2941
META,T4,headline,2012-05-17,2012,ok,yfinance,2012-05-18,3528
UBER,T4,headline,2019-05-10,2019,ok,yfinance,2019-05-10,1774
ARM,T4,headline,2023-09-14,2023,ok,yfinance,2023-09-14,680
RIVN,T4,headline,2021-11-10,2021,ok,yfinance,2021-11-10,1142
CPNG,T4,headline,2021-03-11,2021,ok,yfinance,2021-03-11,1312
VG,T4,headline,2025-01-24,2025,ok,yfinance,2025-01-24,342
GM,T4,headline,2010-11-18,2010,ok,yfinance,2010-11-18,3905
KVUE,T4,headline,2023-05-04,2023,ok,yfinance,2023-05-04,771
NU,T4,headline,2021-12-09,2021,ok,yfinance,2021-12-09,1122
ABNB,T4,headline,2020-12-10,2020,ok,yfinance,2020-12-10,1373
RKT,T4,headline,2020-08-06,2020,ok,yfinance,2020-08-06,1464
DASH,T4,headline,2020-12-09,2020,ok,yfinance,2020-12-09,1374
HOOD,T4,headline,2021-07-29,2021,ok,yfinance,2021-07-29,1215
SNOW,T4,headline,2020-09-16,2020,ok,yfinance,2020-09-16,1433
LU,T4,headline,2020-10-30,2020,ok,yfinance,2020-10-30,1404
PATH,T4,headline,2021-04-21,2021,ok,yfinance,2021-04-21,1287
APP,T4,headline,2021-04-15,2021,ok,yfinance,2021-04-15,1288
JD,T4,headline,2014-05-22,2014,ok,yfinance,2014-05-22,3024
GFS,T4,headline,2021-10-28,2021,ok,yfinance,2021-10-28,1151
BEKE,T4,headline,2020-08-13,2020,ok,yfinance,2020-08-13,1459
LYFT,T4,headline,2019-03-29,2019,ok,yfinance,2019-03-29,1803
ATUS,T4,headline,2017-06-22,2017,missing_both_sources,,,0
