ticker,ritter_ticker,name,first_trade,yf_first_trade,year,offer_price,adr,ritter_shares,edgar_shares,yf_shares,est_edgar,est_yf,est_ritter,mcap_listing_b,mcap_src,mcap_conf,match_method,bucket,reason,tier,spac_review
SPCX,SPCX,Space Exploration Technologies Corp.,2026-06-12,2026-06-12,2026.0,135.0,0.0,,,13090853965.0,,1767.265285275,,1767.265285275,single:yf,low,seed_calendar,considered,too recent: IPO 2026-06-12; +180 td outcome not yet observable,T4,False
COIN,COIN,Coinbase Global Inc,2021-04-14,2021-04-14,2021.0,250.0,1.0,185986111.0,,185986000.0,,46.4965,46.49652775,46.496513875,auto:ritter+yf,high,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec,T4,False
CBRS,CBRS,Cerebras Systems Inc.,2026-05-14,2026-05-14,2026.0,185.0,0.0,,,215110345.0,,39.795413825,,39.795413825,single:yf,low,seed_calendar,considered,too recent: IPO 2026-05-14; +180 td outcome not yet observable,T4,False
MDLN,MDLN,Medline Inc.,2025-12-17,nan,2025.0,29.0,1.0,1313717222.0,,,,,38.097799438,38.097799438,ritter-anchor,med,ticker+date,considered,too recent: IPO 2025-12-17; +180 td outcome not yet observable,T4,False
SPOT,SPOT,Spotify Technology S.A.,2018-04-03,2018-04-03,2018.0,165.9,1.0,,,178112992.0,,29.5489453728,,29.5489453728,single:yf,low,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec,T4,False
RBLX,RBLX,Roblox,2021-03-10,2021-03-10,2021.0,45.0,1.0,550450766.0,568894000.0,534820000.0,25.60023,24.0669,24.77028447,24.77028447,auto:edgar+ritter+yf,high,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec,T4,False
WORK,WORK,Slack,2019-06-20,nan,2019.0,38.5,1.0,525337000.0,,,,,20.2254745,20.2254745,ritter-anchor,med,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec,T4,False
BSP,BSP,Bending Spoons S.p.A.,2026-07-01,2026-07-01,2026.0,29.0,0.0,,,635219310.0,,18.42135999,,18.42135999,single:yf,low,seed_calendar,considered,too recent: IPO 2026-07-01; +180 td outcome not yet observable,T4,False
DSC,DSC,DSC Holdings Ltd.,2026-06-25,2026-06-25,2026.0,17.0,0.0,,,941449847.0,,16.004647399,,16.004647399,single:yf,low,seed_calendar,considered,too recent: IPO 2026-06-25; +180 td outcome not yet observable,T4,False
QNT,QNT,Quantinuum Inc.,2026-06-04,2026-06-04,2026.0,60.0,0.0,,,259285571.0,,15.55713426,,15.55713426,single:yf,low,seed_calendar,considered,too recent: IPO 2026-06-04; +180 td outcome not yet observable,T4,False
MAIR,MAIR,Madison Air Solutions Corporation,2026-04-16,2026-04-16,2026.0,27.0,0.0,,,488926326.0,,13.201010802,,13.201010802,single:yf,low,seed_calendar,considered,too recent: IPO 2026-04-16; +180 td outcome not yet observable,T4,False
PLTR,PLTR,Palantir Technologies,2020-09-30,2020-09-30,2020.0,7.25,1.0,1585000000.0,1726685755.0,1587520000.0,12.51847172375,11.50952,11.49125,11.50952,auto:edgar+ritter+yf,high,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec,T4,False
ARXS,ARXS,"Arxis, Inc.",2026-04-16,2026-04-16,2026.0,28.0,0.0,,,401566616.0,,11.243865248,,11.243865248,single:yf,low,seed_calendar,considered,too recent: IPO 2026-04-16; +180 td outcome not yet observable,T4,False
PAYP,PAYP,PayPay Corporation,2026-03-12,2026-03-12,2026.0,16.0,0.0,,676955535.0,668625454.0,10.83128856,10.698007264,,10.764647912000001,auto:edgar+yf,high,seed_calendar,considered,too recent: IPO 2026-03-12; +180 td outcome not yet observable,T4,False
FRVO,FRVO,Fervo Energy Company,2026-05-13,2026-05-13,2026.0,27.0,0.0,,,283562333.0,,7.656182991,,7.656182991,single:yf,low,seed_calendar,considered,too recent: IPO 2026-05-13; +180 td outcome not yet observable,T3,False
BETA,BETA,"BETA Technologies, Inc.",2025-11-04,nan,2025.0,34.0,1.0,223807603.0,,,,,7.609458502,7.609458502,ritter-anchor,med,ticker+date,considered,too recent: IPO 2025-11-04; +180 td outcome not yet observable,T3,False
SQSP,SQSP,"SquareSpace, Inc.",2021-05-19,nan,2021.0,50.0,1.0,136077294.0,,,,,6.8038647,6.8038647,ritter-anchor,med,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec,T3,False
FPS,FPS,"Forgent Power Solutions, Inc.",2026-02-05,2026-02-05,2026.0,27.0,0.0,,,230847681.0,,6.232887387,,6.232887387,single:yf,low,seed_calendar,considered,too recent: IPO 2026-02-05; +180 td outcome not yet observable,T3,False
NAVN,NAVN,"Navan, Inc.",2025-10-30,nan,2025.0,25.0,1.0,248221590.0,,,,,6.20553975,6.20553975,ritter-anchor,med,ticker+date,considered,too recent: IPO 2025-10-30; +180 td outcome not yet observable,T3,False
EQPT,EQPT,EquipmentShare.com Inc.,2026-01-23,2026-01-23,2026.0,24.5,0.0,,,251282895.0,,6.1564309275,,6.1564309275,single:yf,low,seed_calendar,considered,too recent: IPO 2026-01-23; +180 td outcome not yet observable,T3,False
XE,XE,"X-Energy, Inc.",2026-04-24,2026-04-24,2026.0,23.0,0.0,,,263971956.0,,6.071354988,,6.071354988,single:yf,low,seed_calendar,considered,too recent: IPO 2026-04-24; +180 td outcome not yet observable,T3,False
MMED,MMED,"MiniMed Group, Inc.",2026-03-06,2026-03-06,2026.0,20.0,0.0,,280819988.0,280819988.0,5.61639976,5.61639976,,5.61639976,auto:edgar+yf,high,seed_calendar,considered,too recent: IPO 2026-03-06; +180 td outcome not yet observable,T3,False
JAN,JAN,"Janus Living, Inc.",2026-03-20,2026-03-20,2026.0,20.0,0.0,,,263140776.0,,5.26281552,,5.26281552,single:yf,low,seed_calendar,considered,too recent: IPO 2026-03-20; +180 td outcome not yet observable,T3,False
MWH,MWH,"SOLV Energy, Inc.",2026-02-11,2026-02-12,2026.0,25.0,0.0,,,202490437.0,,5.062260925,,5.062260925,single:yf,low,seed_calendar,considered,too recent: IPO 2026-02-11; +180 td outcome not yet observable,T3,False
DPC,DPC,DPC Holdings PLC,2026-06-25,2026-06-25,2026.0,33.0,0.0,,,145151799.0,,4.790009367,,4.790009367,single:yf,low,seed_calendar,considered,too recent: IPO 2026-06-25; +180 td outcome not yet observable,T2,False
YSS,YSS,"York Space Systems, Inc.",2026-01-29,2026-01-29,2026.0,34.0,0.0,,129694458.0,126944388.0,4.409611572,4.316109192,,4.362860382,auto:edgar+yf,high,seed_calendar,considered,too recent: IPO 2026-01-29; +180 td outcome not yet observable,T2,False
WRBY,WRBY,Warby Parker Inc,2021-09-29,2021-09-29,2021.0,40.0,1.0,108177575.0,113182975.0,77741904.0,4.527319,3.10967616,4.327103,4.327103,auto:edgar+ritter+yf,high,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec,T2,False
AMPL,AMPL,"Amplitude, Inc.",2021-09-28,2021-09-28,2021.0,35.0,1.0,102444655.0,,129562000.0,,4.53467,3.585562925,4.0601164625,auto:ritter+yf,high,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec,T2,False
LFTO,LFTO,"Liftoff Mobile, Inc.",2026-06-04,2026-06-04,2026.0,23.0,0.0,,,166480527.0,,3.829052121,,3.829052121,single:yf,low,seed_calendar,considered,too recent: IPO 2026-06-04; +180 td outcome not yet observable,T2,False
ZIP,ZIP,"ZipRecruiter, Inc",2021-05-26,2021-05-26,2021.0,18.0,1.0,189336491.0,,104600000.0,,1.8828,3.408056838,3.408056838,ritter-anchor,med,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec,T2,False
ASAN,ASAN,"Asana, Inc.",2020-09-30,2020-09-30,2020.0,21.0,1.0,151316000.0,161480000.0,154610000.0,3.39108,3.24681,3.177636,3.24681,auto:edgar+ritter+yf,high,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec,T2,False
BLLN,BLLN,"BillionToOne, Inc.",2025-11-06,nan,2025.0,60.0,1.0,44720379.0,,,,,2.68322274,2.68322274,ritter-anchor,med,ticker+date,considered,too recent: IPO 2025-11-06; +180 td outcome not yet observable,T2,False
PBLS,PBLS,"Parabilis Medicines, Inc.",2026-06-10,2026-06-10,2026.0,20.0,0.0,,,122312446.0,,2.44624892,,2.44624892,single:yf,low,seed_calendar,considered,too recent: IPO 2026-06-10; +180 td outcome not yet observable,T2,False
BOBS,BOBS,"Bob's Discount Furniture, Inc.",2026-02-05,2026-02-05,2026.0,17.0,0.0,,130627486.0,130627486.0,2.220667262,2.220667262,,2.220667262,auto:edgar+yf,high,seed_calendar,considered,too recent: IPO 2026-02-05; +180 td outcome not yet observable,T2,False
BTGO,BTGO,"Bitgo Holdings, Inc.",2026-01-22,2026-01-21,2026.0,18.0,0.0,,,115597993.0,,2.080763874,,2.080763874,single:yf,low,seed_calendar,considered,too recent: IPO 2026-01-22; +180 td outcome not yet observable,T2,False
GENB,GENB,"Generate Biomedicines, Inc.",2026-02-27,2026-02-27,2026.0,16.0,0.0,,128192484.0,127450201.0,2.051079744,2.039203216,,2.04514148,auto:edgar+yf,high,seed_calendar,considered,too recent: IPO 2026-02-27; +180 td outcome not yet observable,T2,False
KLRA,KLRA,"Kailera Therapeutics, Inc.",2026-04-17,2026-04-17,2026.0,16.0,0.0,,129565608.0,117948774.0,2.073049728,1.887180384,,1.980115056,auto:edgar+yf,high,seed_calendar,considered,too recent: IPO 2026-04-17; +180 td outcome not yet observable,T2,False
