tier,entry,exit,split,n,median_hedged,mean_hedged,hit_rate,flag_small_n
T1,1,60,discovery,208,0.016270872926095352,-0.07757743659438845,0.5192307692307693,False
T1,1,60,validation,172,0.09412311538678389,0.0035843644445096036,0.5988372093023255,False
T1,1,90,discovery,208,0.03887027635426065,-0.07774714100183518,0.5528846153846154,False
T1,1,90,validation,171,0.1463463669935245,0.04795260981613898,0.6374269005847953,False
T1,1,120,discovery,207,0.030170005022869,-0.06939994661669852,0.5314009661835749,False
T1,1,120,validation,166,0.2570844450533062,0.13468467376270532,0.7228915662650602,False
T1,1,180,discovery,207,0.0372173761339991,-0.06554948240693621,0.5603864734299517,False
T1,1,180,validation,163,0.3610956740702991,0.24056589262539682,0.7607361963190185,False
T1,1,250,discovery,207,0.0415713880764725,-0.09043791334559127,0.5410628019323671,False
T1,1,250,validation,159,0.4860423603958919,0.3216787763204888,0.7547169811320755,False
T1,5,60,discovery,208,0.0169200450239269,-0.030348786440554124,0.5673076923076923,False
T1,5,60,validation,172,0.078370589794618,0.019317248380297188,0.6162790697674418,False
T1,5,90,discovery,208,0.047929820509772805,-0.02889820208540714,0.5480769230769231,False
T1,5,90,validation,171,0.1368744617411195,0.06356060771937085,0.6608187134502924,False
T1,5,120,discovery,207,0.024356085123528,-0.01774892130329586,0.5217391304347826,False
T1,5,120,validation,166,0.27148918132608424,0.14633040362179495,0.6987951807228916,False
T1,5,180,discovery,207,0.0396809374228299,-0.031111014140277816,0.5652173913043478,False
T1,5,180,validation,163,0.3756356365172335,0.24850331904576278,0.7668711656441718,False
T1,5,250,discovery,207,0.0579422553900694,-0.06356591470659162,0.5603864734299517,False
T1,5,250,validation,159,0.4694081734512697,0.33936266597169723,0.7610062893081762,False
T1,10,60,discovery,208,0.02298281164867315,-0.018097848078017814,0.5480769230769231,False
T1,10,60,validation,172,0.06947759849687915,0.036914661332088025,0.6104651162790697,False
T1,10,90,discovery,208,0.028162568671656396,-0.014283597422895514,0.5576923076923077,False
T1,10,90,validation,171,0.1519731537057671,0.08418704195182605,0.631578947368421,False
T1,10,120,discovery,207,0.0235293651453301,-0.0036575596877117256,0.5217391304347826,False
T1,10,120,validation,166,0.26737586847628736,0.1627636503573792,0.7289156626506024,False
T1,10,180,discovery,207,0.0529021040150217,-0.018440030133609998,0.5700483091787439,False
T1,10,180,validation,163,0.3782484681701,0.2597694945578523,0.7668711656441718,False
T1,10,250,discovery,207,0.0897729861942409,-0.049376868262081236,0.5942028985507246,False
T1,10,250,validation,159,0.4851755797768585,0.3511756256414554,0.7735849056603774,False
T1,20,60,discovery,208,0.029073829668457,-0.0042376927127618395,0.5673076923076923,False
T1,20,60,validation,172,0.038275574985492,0.01191049657621627,0.5697674418604651,False
T1,20,90,discovery,208,0.05610388990264695,0.0011090515213368218,0.5769230769230769,False
T1,20,90,validation,171,0.1235233959244819,0.0654795701611873,0.6491228070175439,False
T1,20,120,discovery,207,0.0345715230068697,0.007744020838166118,0.5410628019323671,False
T1,20,120,validation,166,0.24175308337055956,0.14788001587934815,0.7108433734939759,False
T1,20,180,discovery,207,0.0691823058024494,-0.0065461972826859555,0.5845410628019324,False
T1,20,180,validation,163,0.3168893306161785,0.25041261653915975,0.7668711656441718,False
T1,20,250,discovery,207,0.0986850306804421,-0.03427742312467576,0.5700483091787439,False
T1,20,250,validation,159,0.4783405050603729,0.3369244317308768,0.7735849056603774,False
T1,30,60,discovery,208,0.0153882703946428,-0.009856241749167478,0.5625,False
T1,30,60,validation,172,0.0256612665386284,0.012601253786765323,0.5581395348837209,False
T1,30,90,discovery,208,0.036801358955277294,-0.0037398188105021266,0.6105769230769231,False
T1,30,90,validation,171,0.1087465415662012,0.06775345607028443,0.6608187134502924,False
T1,30,120,discovery,207,0.0400207972796138,-0.0016494933893606617,0.5458937198067633,False
T1,30,120,validation,166,0.23015715429980105,0.1492838061568914,0.6987951807228916,False
T1,30,180,discovery,207,0.076490194264166,-0.018609659315317117,0.5555555555555556,False
T1,30,180,validation,163,0.3848618924089596,0.2466941523974672,0.7668711656441718,False
T1,30,250,discovery,207,0.0976413855652056,-0.04730054257665923,0.5942028985507246,False
T1,30,250,validation,159,0.4722515003379358,0.32968455263899193,0.7924528301886793,False
T2,1,60,discovery,154,-0.0156194235334868,-0.07859322972264562,0.461038961038961,False
T2,1,60,validation,197,0.1161688221366058,0.04197078588672378,0.6446700507614214,False
T2,1,90,discovery,154,-0.0036656616556657,-0.04377344081339874,0.4935064935064935,False
T2,1,90,validation,197,0.1936343031548144,0.07858363960696273,0.6751269035532995,False
T2,1,120,discovery,154,0.02751686603759255,-0.01767902831719696,0.538961038961039,False
T2,1,120,validation,191,0.2678161318248415,0.1392919882611809,0.7172774869109948,False
T2,1,180,discovery,154,0.04699307548095505,-0.006846371338738999,0.564935064935065,False
T2,1,180,validation,189,0.3551810682958322,0.14816898943657536,0.7195767195767195,False
T2,1,250,discovery,154,0.06835864718301876,-0.036244687300392764,0.5714285714285714,False
T2,1,250,validation,182,0.36464729445602856,0.19376542543106995,0.7582417582417582,False
T2,5,60,discovery,154,-0.01369484866491185,-0.07773127326383511,0.4675324675324675,False
T2,5,60,validation,197,0.0996511412430412,0.04738575077181404,0.6345177664974619,False
T2,5,90,discovery,154,0.01974979270682945,-0.04553863360805545,0.512987012987013,False
