ticker,tier,bucket,listing,quarter,year,era,split,n_bars,stock_e1_x60,qqq_e1_x60,hedged_e1_x60,stock_e1_x90,qqq_e1_x90,hedged_e1_x90,stock_e1_x120,qqq_e1_x120,hedged_e1_x120,stock_e1_x180,qqq_e1_x180,hedged_e1_x180,stock_e1_x250,qqq_e1_x250,hedged_e1_x250,stock_e5_x60,qqq_e5_x60,hedged_e5_x60,stock_e5_x90,qqq_e5_x90,hedged_e5_x90,stock_e5_x120,qqq_e5_x120,hedged_e5_x120,stock_e5_x180,qqq_e5_x180,hedged_e5_x180,stock_e5_x250,qqq_e5_x250,hedged_e5_x250,stock_e10_x60,qqq_e10_x60,hedged_e10_x60,stock_e10_x90,qqq_e10_x90,hedged_e10_x90,stock_e10_x120,qqq_e10_x120,hedged_e10_x120,stock_e10_x180,qqq_e10_x180,hedged_e10_x180,stock_e10_x250,qqq_e10_x250,hedged_e10_x250,stock_e20_x60,qqq_e20_x60,hedged_e20_x60,stock_e20_x90,qqq_e20_x90,hedged_e20_x90,stock_e20_x120,qqq_e20_x120,hedged_e20_x120,stock_e20_x180,qqq_e20_x180,hedged_e20_x180,stock_e20_x250,qqq_e20_x250,hedged_e20_x250,stock_e30_x60,qqq_e30_x60,hedged_e30_x60,stock_e30_x90,qqq_e30_x90,hedged_e30_x90,stock_e30_x120,qqq_e30_x120,hedged_e30_x120,stock_e30_x180,qqq_e30_x180,hedged_e30_x180,stock_e30_x250,qqq_e30_x250,hedged_e30_x250
SPCX,T4,considered,2026-06-12,2026Q2,2026,2020+,validation,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBRS,T4,considered,2026-05-14,2026Q2,2026,2020+,validation,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLN,T4,considered,2025-12-17,2025Q4,2025,2020+,validation,140,0.06734176828891414,-0.008245923049181259,-0.0755876913380954,0.0987342158450355,0.08889630423907957,-0.009837911605955929,-0.05999997295910797,0.18032757208897054,0.24032754504807852,,,,,,,-0.04787712263614552,-0.03304865111538691,0.014828471520758613,-0.019873470588924635,0.0616641510732725,0.08153762166219714,-0.16147240081959147,0.1508088189222827,0.31228121974187417,,,,,,,0.03791238197986546,-0.016000187593016912,-0.053912569572882374,0.0684392581756561,0.08038251014424214,0.011943251968586033,-0.08591821653225229,0.17109890093442282,0.2570171174666751,,,,,,,-0.044424277695442105,-0.02889289402216466,0.015531383673277444,-0.016319071247427597,0.06622696421948904,0.08254603546691663,-0.15843150573419396,0.15575475743066347,0.3141862631648574,,,,,,,-0.0635273341019782,-0.03646153329049784,0.027065800811480356,-0.035983983016717125,0.05791697738006474,0.09390096039678186,-0.17525542668642535,0.14674700659884898,0.32200243328527434,,,,,,
BSP,T4,considered,2026-07-01,2026Q3,2026,2020+,validation,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSC,T4,considered,2026-06-25,2026Q2,2026,2020+,validation,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QNT,T4,considered,2026-06-04,2026Q2,2026,2020+,validation,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIR,T4,considered,2026-04-16,2026Q2,2026,2020+,validation,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARXS,T4,considered,2026-04-16,2026Q2,2026,2020+,validation,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYP,T4,considered,2026-03-12,2026Q1,2026,2020+,validation,83,-0.2824030031087801,0.20759438340175618,0.48999738651053626,,,,,,,,,,,,,-0.2581907329907879,0.2090197285671369,0.4672104615579248,,,,,,,,,,,,,-0.3320122990816843,0.2479653442704477,0.579977643352132,,,,,,,,,,,,,-0.24527364236872207,0.17182968010198407,0.41710332247070614,,,,,,,,,,,,,-0.24225775577287356,0.07861357543025504,0.3208713312031286,,,,,,,,,,,,
FRVO,T3,considered,2026-05-13,2026Q2,2026,2020+,validation,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
