split,borrow_annual,n,mean,median,hit_rate,naive_t,naive_p,mean_ci_lo,mean_ci_hi,median_ci_lo,median_ci_hi
discovery,0.0,36,0.1350100256358038,0.1146341812085398,0.75,3.3325153863804187,0.0020414020687207846,0.07097633705429315,0.22102253352961437,0.050298142058964004,0.2460559034584846
discovery,0.03,36,0.11596240658818477,0.09558656216092075,0.7222222222222222,2.86235412797629,0.0070544280672717,0.05054311316924504,0.20202774691936207,0.031250523011344955,0.22700828441086557
discovery,0.1,36,0.07151796214374033,0.05114211771647631,0.5833333333333334,1.7653111916999895,0.08623575072391647,0.006507971750621809,0.1564797373292189,-0.013193921433099488,0.17692367861698657
discovery,0.3,36,-0.055466164840386654,-0.07584200926765067,0.4166666666666667,-1.3690971976608695,0.17969136410872577,-0.12008828413795684,0.0323028584343282,-0.13590792798641266,0.05557971298229414
validation,0.0,98,0.20917251498989428,0.25120550162498284,0.7653061224489796,4.826729757727532,5.167035240130367e-06,-0.03739089913733647,0.2960979734566035,0.0442295079827221,0.3135786210117574
validation,0.03,98,0.1901248959422752,0.2321578825773638,0.7448979591836735,4.387199211969918,2.920106077407852e-05,-0.05970591293851728,0.281675071454877,0.025181888935103054,0.2903952639792076
validation,0.1,98,0.14568045149783082,0.18771343813291935,0.7142857142857143,3.3616279385354906,0.001109750934911848,-0.10017289096865943,0.23522474781928515,-0.01926255550934139,0.25416928225080804
validation,0.3,98,0.018696324513703823,0.060729311148792375,0.5714285714285714,0.4314243001514076,0.6671172262239407,-0.21981543165899825,0.10765311007606015,-0.14624668249346837,0.12718515526668106
full,0.0,134,0.1892482641186461,0.22763311371310266,0.7611940298507462,5.6400883305538,9.783054518486263e-08,0.03994259057678484,0.26474372715915173,0.0693124216561413,0.26462683425419287
full,0.03,134,0.17020064507102706,0.20858549466548362,0.7388059701492538,5.0724199589804755,1.2924912259726578e-06,0.01718633714803575,0.2458917314255829,0.050264802608522244,0.250488920303832
full,0.1,134,0.1257562006265826,0.16414105022103917,0.6791044776119403,3.747860425309381,0.00026491940625572726,-0.028832077722630252,0.20193330855068092,0.005820358164077805,0.20495479194001742
full,0.3,134,-0.001227926357544361,0.03715692323691219,0.5298507462686567,-0.03659538517945657,0.9708624928642186,-0.15391891433854127,0.07469980681489319,-0.12116376882004917,0.07797066495589045
